price,title,link
"83,8",Detergente líquido profissional lavagem perfeita 7L Omo,https://www.mercadolivre.com.br/detergente-liquido-profissional-lavagem-perfeita-7l-omo/p/MLB17001072?pdp_filters=category:MLB1574%7Cdeal:MLB875643-1#searchVariation=MLB17001072&position=1&search_layout=grid&type=product&tracking_id=0d612cbf-8890-4624-a2e9-8a9729481601
"179,35",Jogo De Toalhas Buddemeyer Doris Banho Cinza 5 Peças,https://produto.mercadolivre.com.br/MLB-1677492465-jogo-de-toalhas-buddemeyer-doris-banho-cinza-5-pecas-_JM#position=25&search_layout=grid&type=item&tracking_id=0d612cbf-8890-4624-a2e9-8a9729481601
"234,22",Câmera de segurança Intelbras iM3 com resolução de 2MP visão nocturna incluída branca,https://www.mercadolivre.com.br/cmera-de-seguranca-intelbras-im3-com-resoluco-de-2mp-viso-nocturna-incluida-branca/p/MLB18596028?pdp_filters=category:MLB1574%7Cdeal:MLB875643-1#searchVariation=MLB18596028&position=2&search_layout=grid&type=product&tracking_id=0d612cbf-8890-4624-a2e9-8a9729481601
"218,21",Kit 2 Câmera Ip Wifi Dome Rotativa Visão Noturna 2 Antena A8,https://www.mercadolivre.com.br/kit-2-cmera-ip-wifi-dome-rotativa-viso-noturna-2-antena-a8/p/MLB22513395?pdp_filters=category:MLB1574%7Cdeal:MLB875643-1#searchVariation=MLB22513395&position=3&search_layout=grid&type=product&tracking_id=0d612cbf-8890-4624-a2e9-8a9729481601
"493,47",Chuveiro elétrico de parede Lorenzetti Acqua Ultra Duo preto-cromado 7800W 220V,https://www.mercadolivre.com.br/chuveiro-eletrico-de-parede-lorenzetti-acqua-ultra-duo-preto-cromado-7800w-220v/p/MLB15480157?pdp_filters=category:MLB1574%7Cdeal:MLB875643-1#searchVariation=MLB15480157&position=4&search_layout=grid&type=product&tracking_id=0d612cbf-8890-4624-a2e9-8a9729481601
"520,52",Cadeira de escritório Travel Max Denver  preta com estofado de poliuretano,https://www.mercadolivre.com.br/cadeira-de-escritorio-travel-max-denver-preta-com-estofado-de-poliuretano/p/MLB18708235?pdp_filters=category:MLB1574%7Cdeal:MLB875643-1#searchVariation=MLB18708235&position=5&search_layout=grid&type=product&tracking_id=0d612cbf-8890-4624-a2e9-8a9729481601
"87,8","Tapete 2,00x1,50 Costa Oro Shaggy Mega Promoção Peludo",https://produto.mercadolivre.com.br/MLB-1813612114-tapete-200x150-costa-oro-shaggy-mega-promoco-peludo-_JM#position=26&search_layout=grid&type=item&tracking_id=0d612cbf-8890-4624-a2e9-8a9729481601
"566,54",Câmera De Segurança Im7 Full Color 360° Speed Dome Intelbras,https://www.mercadolivre.com.br/cmera-de-seguranca-im7-full-color-360-speed-dome-intelbras/p/MLB19935262?pdp_filters=category:MLB1574%7Cdeal:MLB875643-1#searchVariation=MLB19935262&position=6&search_layout=grid&type=product&tracking_id=0d612cbf-8890-4624-a2e9-8a9729481601
"414,40",Fechadura digital Intelbras FR 101 direita/esquerda cor preto,https://www.mercadolivre.com.br/fechadura-digital-intelbras-fr-101-direitaesquerda-cor-preto/p/MLB20938205?pdp_filters=category:MLB1574%7Cdeal:MLB875643-1#searchVariation=MLB20938205&position=7&search_layout=grid&type=product&tracking_id=0d612cbf-8890-4624-a2e9-8a9729481601
"651,65",Cama box Ortobom union ortopedico  Casal de 188cmx138cm preto,https://www.mercadolivre.com.br/cama-box-ortobom-union-ortopedico-casal-de-188cmx138cm-preto/p/MLB10162960?pdp_filters=category:MLB1574%7Cdeal:MLB875643-1#searchVariation=MLB10162960&position=8&search_layout=grid&type=product&tracking_id=0d612cbf-8890-4624-a2e9-8a9729481601
"192,18",Cuba Pia Cozinha Gourmet Aço Inox 50x40 Tubrax C/ Acessórios,https://www.mercadolivre.com.br/cuba-pia-cozinha-gourmet-aco-inox-50x40-tubrax-c-acessorios/p/MLB21766858?pdp_filters=category:MLB1574%7Cdeal:MLB875643-1#searchVariation=MLB21766858&position=9&search_layout=grid&type=product&tracking_id=0d612cbf-8890-4624-a2e9-8a9729481601
"24,2",Balança Digital De Precisão Cozinha 10kg Nutrição E Dieta,https://produto.mercadolivre.com.br/MLB-1190662538-balanca-digital-de-preciso-cozinha-10kg-nutrico-e-dieta-_JM#position=27&search_layout=grid&type=item&tracking_id=0d612cbf-8890-4624-a2e9-8a9729481601
"152,14","Tapete Peludo Felpudo Costa Oro 2,00x2,50 Palha Promoção",https://produto.mercadolivre.com.br/MLB-1813615389-tapete-peludo-felpudo-costa-oro-200x250-palha-promoco-_JM#position=28&search_layout=grid&type=item&tracking_id=0d612cbf-8890-4624-a2e9-8a9729481601
